"","vehicle_make","vehicle_model","vehicle_year","vehicle_colour","vehicle_value","occurred_date","reported_date","weekday","recovered","year","theft_year"
"139","LNDR","RVE",2021,"WHI",0,"10/17/2022 4:00:00 AM","2/10/2023 5:00:00 AM","Mon","N",2022,2022
"140","JEEP","WRG",2021,"WHI",0,"10/13/2022 4:00:00 AM","10/13/2022 4:00:00 AM","Wed","N",2022,2022
"141","CHEV","EQU",2017,"GRY",0,"2/2/2022 5:00:00 AM","2/2/2022 5:00:00 AM","Wed","Y",2022,2022
"142","TOYT","HIG",2019,"BLK",0,"6/7/2022 4:00:00 AM","6/8/2022 4:00:00 AM","Tue","N",2022,2022
"143","JEEP","GCK",2021,"RED",0,"3/18/2022 4:00:00 AM","3/19/2022 4:00:00 AM","Fri","Y",2022,2022
"144","DODG","CVN",2017,"RED",0,"8/12/2022 4:00:00 AM","8/15/2022 4:00:00 AM","Fri","N",2022,2022
"145","TOYT","HIG",2021,"BLK",0,"2/20/2023 5:00:00 AM","2/20/2023 5:00:00 AM","Mon","N",2023,2023
"146","KIA","RIO",2004,"SIL",0,"4/9/2018 4:00:00 AM","4/11/2018 4:00:00 AM","Mon","Y",2018,2018
"147",NA,NA,2018,"GRY",15000,"5/1/2019 4:00:00 AM","5/1/2019 4:00:00 AM","Tue","Y",2019,2019
"148",NA,NA,2012,"GRN",800,"5/1/2019 4:00:00 AM","5/1/2019 4:00:00 AM","Tue","N",2019,2019
"149","LEXS","RX35",0,"BLK",0,"8/11/2019 4:00:00 AM","8/11/2019 4:00:00 AM","Sun","N",2019,2019
"150","LEXS","NXT",2016,"BLK",0,"6/10/2019 4:00:00 AM","6/11/2019 4:00:00 AM","Mon","Y",2019,2019
"151","BMW",NA,2010,"BLK",0,"4/27/2019 4:00:00 AM","5/15/2019 4:00:00 AM","Sat","N",2019,2019
"152","DODG","R15",2018,"GRYBLK",43000,"11/28/2019 5:00:00 AM","11/28/2019 5:00:00 AM","Wed","Y",2019,2019
"153",NA,NA,2005,"DBL",0,"5/6/2019 4:00:00 AM","5/6/2019 4:00:00 AM","Mon","Y",2019,2019
"154","CSHO",NA,2007,"BLK",0,"5/5/2019 4:00:00 AM","5/6/2019 4:00:00 AM","Sun","N",2019,2019
"155","POLS","500H",2010,"RED",0,"5/5/2019 4:00:00 AM","5/6/2019 4:00:00 AM","Sun","N",2019,2019
"156","TOYT","HIG",0,"GRY",0,"8/5/2019 4:00:00 AM","8/5/2019 4:00:00 AM","Sun","N",2019,2019
"157",NA,"125",2009,"BLK",0,"5/3/2019 4:00:00 AM","5/3/2019 4:00:00 AM","Thu","N",2019,2019
"158","TOYT","4RN",2019,"WHI",66000,"8/11/2019 4:00:00 AM","8/11/2019 4:00:00 AM","Sat","N",2019,2019
"159","GMC","SIE",2005,"GRY",0,"12/11/2020 5:00:00 AM","12/11/2020 5:00:00 AM","Thu","Y",2020,2020
"160","TOYT","HIG",2018,"WHI",0,"2/22/2020 5:00:00 AM","2/23/2020 5:00:00 AM","Sat","N",2020,2020
"161",NA,NA,2005,"BLK",0,"9/16/2020 4:00:00 AM","9/16/2020 4:00:00 AM","Wed","N",2020,2020
"162",NA,NA,2003,"YEL",0,"9/16/2020 4:00:00 AM","9/16/2020 4:00:00 AM","Wed","N",2020,2020
"163",NA,"400",2006,"DGR",0,"9/16/2020 4:00:00 AM","9/16/2020 4:00:00 AM","Wed","N",2020,2020
"164","CHEV","LS5",2006,"RED",0,"9/1/2020 4:00:00 AM","4/22/2021 4:00:00 AM","Tue","Y",2020,2020
"165","FORD","F15",2011,"GRY",0,"8/28/2020 4:00:00 AM","9/1/2020 4:00:00 AM","Fri","N",2020,2020
"166","LEXS","RX3",2020,"BLK",40000,"10/3/2021 4:00:00 AM","10/3/2021 4:00:00 AM","Sun","N",2021,2021
"167","HOND","ODY",0,NA,0,"9/25/2021 4:00:00 AM","9/26/2021 4:00:00 AM","Sat","Y",2021,2021
"168","FORD","F15",2020,"BLK",0,"10/24/2021 4:00:00 AM","10/24/2021 4:00:00 AM","Sat","N",2021,2021
"169","LEXS",NA,2020,"SIL",45000,"9/23/2021 4:00:00 AM","9/23/2021 4:00:00 AM","Thu","Y",2021,2021
"170","LEXS","RX35",2019,"GRY",68000,"9/22/2021 4:00:00 AM","9/23/2021 4:00:00 AM","Wed","Y",2021,2021
"171","TOYT","HIG",2019,"GRY",0,"2/6/2021 5:00:00 AM","2/6/2021 5:00:00 AM","Sat","N",2021,2021
"172","HYUN","ELN",2021,"BLK",0,"5/16/2021 4:00:00 AM","5/16/2021 4:00:00 AM","Sun","Y",2021,2021
"173","INFI","G35",0,"GRY",0,"6/1/2022 4:00:00 AM","6/2/2022 4:00:00 AM","Wed","N",2022,2022
"174","TOYT","HIG",2017,"BLK",0,"7/28/2022 4:00:00 AM","7/28/2022 4:00:00 AM","Thu","Y",2022,2022
"175","TOYT","CBS",2013,"BLK",0,"7/26/2022 4:00:00 AM","7/31/2022 4:00:00 AM","Tue","Y",2022,2022
"176","TOYT","HIG",2021,"WHI",0,"11/25/2022 5:00:00 AM","11/25/2022 5:00:00 AM","Fri","Y",2022,2022
"177","TOYT","HIG",2020,"WHI",0,"12/18/2022 5:00:00 AM","12/18/2022 5:00:00 AM","Sun","N",2022,2022
"178","HOND","CRV",2021,"GRY",40000,"8/11/2022 4:00:00 AM","8/11/2022 4:00:00 AM","Thu","Y",2022,2022
"179","HOND","CRV",2022,"SIL",46000,"8/8/2022 4:00:00 AM","8/8/2022 4:00:00 AM","Mon","Y",2022,2022
"180","HOND","CRV",2021,"BLK",0,"8/11/2022 4:00:00 AM","8/11/2022 4:00:00 AM","Wed","Y",2022,2022
"181","TOYT","4RN",2017,"WHI",0,"7/28/2022 4:00:00 AM","7/28/2022 4:00:00 AM","Thu","Y",2022,2022
"182","HOND",NA,2020,"GRY",38000,"6/14/2022 4:00:00 AM","6/14/2022 4:00:00 AM","Tue","N",2022,2022
"183","LEXS",NA,2020,"BLK",0,"7/28/2022 4:00:00 AM","7/28/2022 4:00:00 AM","Thu","Y",2022,2022
"184","HOND","CRV",2020,"GRY",0,"9/6/2022 4:00:00 AM","9/6/2022 4:00:00 AM","Tue","Y",2022,2022
"185","JEEP","JJG",2020,"RED",65000,"3/30/2023 4:00:00 AM","3/30/2023 4:00:00 AM","Thu","N",2023,2023
"186","LNDR","DVS",2017,"WHI",0,"2/6/2023 5:00:00 AM","2/6/2023 5:00:00 AM","Mon","Y",2023,2023
"187","TOYT","RAV",2022,"GRY",0,"4/12/2023 4:00:00 AM","4/13/2023 4:00:00 AM","Wed","N",2023,2023
"188","CHEV","CAV",2004,"WHI",0,"4/22/2018 4:00:00 AM","4/23/2018 4:00:00 AM","Sun","Y",2018,2018
"189","CHEV","CAV",2004,"WHI",0,"3/29/2018 4:00:00 AM","3/31/2018 4:00:00 AM","Thu","Y",2018,2018
"190",NA,NA,0,"SIL",0,"8/15/2018 4:00:00 AM","8/16/2018 4:00:00 AM","Wed","N",2018,2018
"191","CHEV","COB",2008,"GRY",0,"7/24/2018 4:00:00 AM","7/24/2018 4:00:00 AM","Mon","Y",2018,2018
"192","NISS","VER",2019,"WHI",25000,"5/7/2019 4:00:00 AM","5/7/2019 4:00:00 AM","Tue","Y",2019,2019
"193","CHEV","SUB",2019,"BLK",80000,"5/24/2019 4:00:00 AM","6/3/2019 4:00:00 AM","Fri","Y",2019,2019
"194","TOYT","COA",2010,"BLK",0,"5/21/2019 4:00:00 AM","5/22/2019 4:00:00 AM","Tue","Y",2019,2019
"195","CHEV","SLV",2017,"WHI",0,"3/21/2019 4:00:00 AM","3/22/2019 4:00:00 AM","Thu","Y",2019,2019
"196","TOYT","COA",0,"RED",0,"6/17/2020 4:00:00 AM","7/13/2020 4:00:00 AM","Wed","Y",2020,2020
"197","HYUN","ELN",2010,"SIL",0,"1/22/2020 5:00:00 AM","1/23/2020 5:00:00 AM","Wed","Y",2020,2020
"198","HYUN","SAN",2016,"BLK",0,"11/13/2020 5:00:00 AM","11/13/2020 5:00:00 AM","Fri","Y",2020,2020
"199","VOLK","TIG",2019,"BLK",0,"8/19/2021 4:00:00 AM","8/24/2021 4:00:00 AM","Thu","N",2021,2021
"200","FORD","F150",2018,"WHI",50000,"9/18/2021 4:00:00 AM","9/18/2021 4:00:00 AM","Sat","Y",2021,2021
"201","TOYT","HIG",2019,"BLK",0,"2/20/2021 5:00:00 AM","2/20/2021 5:00:00 AM","Sat","Y",2021,2021
"202","CHEV","WAV",2010,"DGR",3000,"1/5/2021 5:00:00 AM","1/5/2021 5:00:00 AM","Tue","Y",2021,2021
"203","CHEV","EQU",2018,"BLK",0,"10/4/2021 4:00:00 AM","10/4/2021 4:00:00 AM","Mon","Y",2021,2021
"204","FORD",NA,2019,"BLU",55000,"8/25/2021 4:00:00 AM","8/25/2021 4:00:00 AM","Wed","Y",2021,2021
"205","VOLK","JES",2017,"WHI",0,"10/9/2021 4:00:00 AM","10/9/2021 4:00:00 AM","Fri","Y",2021,2021
