OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,x,y
34346,2021,HOND,CRV,CARRY,WHI,50000,Thu,N,Old Barrhaven West,BARRHAVEN,Sector 16,9/29/2022 4:00:00 AM,9/29/2022 4:00:00 AM,2022,362252.155388216,5014887.22223583
34347,2020,JEEP,GCK,CARRY,BLK,0,Tue,Y,Old Barrhaven West,BARRHAVEN,Sector 16,7/13/2022 4:00:00 AM,7/13/2022 4:00:00 AM,2022,362802.872237493,5015173.43253431
34348,2022,HOND,CRV,CARRY,GRY,0,Wed,Y,Old Barrhaven West,BARRHAVEN,Sector 16,8/3/2022 4:00:00 AM,8/3/2022 4:00:00 AM,2022,361902.590372967,5015629.19870452
34349,2021,FORD,CLU,CARRY,WHI,60000,Wed,Y,Old Barrhaven West,BARRHAVEN,Sector 16,7/27/2022 4:00:00 AM,7/27/2022 4:00:00 AM,2022,361738.866451923,5015720.43656091
34350,2021,FORD,BRO,CARRY,WHI,0,Wed,Y,Old Barrhaven West,BARRHAVEN,Sector 16,7/27/2022 4:00:00 AM,7/27/2022 4:00:00 AM,2022,361738.866451923,5015720.43656091
34351,2020,JEEP,GCH,CARRY,BLK,0,Tue,N,Old Barrhaven West,BARRHAVEN,Sector 16,1/19/2022 5:00:00 AM,1/19/2022 5:00:00 AM,2022,362006.868612226,5015742.43654361
34352,2019,TOYT,TAC,PICKUP,BLU,0,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,8/13/2022 4:00:00 AM,8/13/2022 4:00:00 AM,2022,361777.866443551,5015652.43551816
34353,2022,TOYT,TAC,PICKUP,GRY,55000,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,8/14/2022 4:00:00 AM,8/13/2022 4:00:00 AM,2022,361628.865648225,5015563.43442689
34354,2020,JEEP,GCK,CARRY,BLK,0,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,4/23/2022 4:00:00 AM,4/23/2022 4:00:00 AM,2022,361798.86642298,5015212.43147902
34355,2020,HOND,CRV,CARRY,RED,0,Mon,Y,Old Barrhaven West,BARRHAVEN,Sector 16,3/1/2022 5:00:00 AM,3/1/2022 5:00:00 AM,2022,363023.874412571,5015824.43842995
